Id,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,BsmtFullBath,BsmtHalfBath
18,,,,,0,,0,0,0,0,0
40,,,,,0,,0,0,0,0,0
91,,,,,0,,0,0,0,0,0
103,,,,,0,,0,0,0,0,0
157,,,,,0,,0,0,0,0,0
183,,,,,0,,0,0,0,0,0
260,,,,,0,,0,0,0,0,0
333,Gd,TA,No,GLQ,1124,,479,1603,3206,1,0
343,,,,,0,,0,0,0,0,0
363,,,,,0,,0,0,0,0,0
372,,,,,0,,0,0,0,0,0
393,,,,,0,,0,0,0,0,0
521,,,,,0,,0,0,0,0,0
533,,,,,0,,0,0,0,0,0
534,,,,,0,,0,0,0,0,0
554,,,,,0,,0,0,0,0,0
647,,,,,0,,0,0,0,0,0
706,,,,,0,,0,0,0,0,0
737,,,,,0,,0,0,0,0,0
750,,,,,0,,0,0,0,0,0
779,,,,,0,,0,0,0,0,0
869,,,,,0,,0,0,0,0,0
895,,,,,0,,0,0,0,0,0
898,,,,,0,,0,0,0,0,0
949,Gd,TA,,Unf,0,Unf,0,936,936,0,0
985,,,,,0,,0,0,0,0,0
1001,,,,,0,,0,0,0,0,0
1012,,,,,0,,0,0,0,0,0
1036,,,,,0,,0,0,0,0,0
1046,,,,,0,,0,0,0,0,0
1049,,,,,0,,0,0,0,0,0
1050,,,,,0,,0,0,0,0,0
1091,,,,,0,,0,0,0,0,0
1180,,,,,0,,0,0,0,0,0
1217,,,,,0,,0,0,0,0,0
1219,,,,,0,,0,0,0,0,0
1233,,,,,0,,0,0,0,0,0
1322,,,,,0,,0,0,0,0,0
1413,,,,,0,,0,0,0,0,0
