Id,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond
40,,,,0,0,,
49,,,,0,0,,
79,,,,0,0,,
89,,,,0,0,,
90,,,,0,0,,
100,,,,0,0,,
109,,,,0,0,,
126,,,,0,0,,
128,,,,0,0,,
141,,,,0,0,,
149,,,,0,0,,
156,,,,0,0,,
164,,,,0,0,,
166,,,,0,0,,
199,,,,0,0,,
211,,,,0,0,,
242,,,,0,0,,
251,,,,0,0,,
288,,,,0,0,,
292,,,,0,0,,
308,,,,0,0,,
376,,,,0,0,,
387,,,,0,0,,
394,,,,0,0,,
432,,,,0,0,,
435,,,,0,0,,
442,,,,0,0,,
465,,,,0,0,,
496,,,,0,0,,
521,,,,0,0,,
529,,,,0,0,,
534,,,,0,0,,
536,,,,0,0,,
563,,,,0,0,,
583,,,,0,0,,
614,,,,0,0,,
615,,,,0,0,,
621,,,,0,0,,
636,,,,0,0,,
637,,,,0,0,,
639,,,,0,0,,
650,,,,0,0,,
706,,,,0,0,,
711,,,,0,0,,
739,,,,0,0,,
751,,,,0,0,,
785,,,,0,0,,
827,,,,0,0,,
844,,,,0,0,,
922,,,,0,0,,
943,,,,0,0,,
955,,,,0,0,,
961,,,,0,0,,
969,,,,0,0,,
971,,,,0,0,,
977,,,,0,0,,
1010,,,,0,0,,
1012,,,,0,0,,
1031,,,,0,0,,
1039,,,,0,0,,
1097,,,,0,0,,
1124,,,,0,0,,
1132,,,,0,0,,
1138,,,,0,0,,
1144,,,,0,0,,
1174,,,,0,0,,
1180,,,,0,0,,
1219,,,,0,0,,
1220,,,,0,0,,
1235,,,,0,0,,
1258,,,,0,0,,
1284,,,,0,0,,
1324,,,,0,0,,
1326,,,,0,0,,
1327,,,,0,0,,
1338,,,,0,0,,
1350,,,,0,0,,
1408,,,,0,0,,
1450,,,,0,0,,
1451,,,,0,0,,
1454,,,,0,0,,
